id;parroquia;id_canton
555;URDANETA;86
556;XIMENA;86
557;ISIDRO AYORA;87
558;ISIDRO AYORA (SOLEDAD);88
559;LOMAS DE SARGENTILLO;88
560;CHOBO;89
561;GENERAL ELIZALDE (BUCAY);89
562;MARISCAL SUCRE (HUAQUES);89
563;MILAGRO;89
564;ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA);89
565;JESÚS MARÍA;90
566;NARANJAL;90
567;SAN CARLOS;90
568;SANTA ROSA DE FLANDES;90
569;TAURA;90
570;NARANJITO;91
571;NARCISA DE JESÚS;92
572;CORONEL MARCELINO MARIDUEÑA (SAN CARLOS);93
573;PALESTINA;94
574;PEDRO CARBO;95
575;SABANILLA;95
576;VALLE DE LA VIRGEN;95
577;GENERAL VILLAMIL (PLAYAS);96
578;BOCANA;97
579;CANDILEJOS;97
580;CENTRAL;97
581;EL SALITRE (LAS RAMAS);97
582;GRAL. VERNAZA (DOS ESTEROS);97
583;JUNQUILLAL;97
584;LA VICTORIA (ÑAUZA);97
585;PARAÍSO;97
586;SAN MATEO;97
587;LA PUNTILLA (SATÉLITE);98
588;SAMBORONDÓN;98
589;TARIFA;98
590;CRNEL. LORENZO DE GARAICOA (PEDREGAL);99
591;CRNEL. MARCELINO MARIDUEÑA (SAN CARLOS);99
592;GRAL. PEDRO J. MONTERO (BOLICHE);99
593;SAN JACINTO DE YAGUACHI;99
594;SIMÓN BOLÍVAR;99
595;VIRGEN DE FÁTIMA;99
596;YAGUACHI VIEJO (CONE);99
597;SANTA LUCÍA;100
598;CRNEL.LORENZO DE GARAICOA (PEDREGAL);101
599;SIMÓN BOLÍVAR;101
600;ALFREDO BAQUERIZO MORENO (JUJÁN);102
601;ANDRADE MARÍN (LOURDES);103
602;ATUNTAQUI;103
603;IMBAYA (SAN LUIS DE COBUENDO);103
604;SAN FRANCISCO DE NATABUELA;103
605;SAN JOSÉ DE CHALTURA;103
606;6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE);104
607;APUELA;104
608;COTACACHI;104
609;GARCÍA MORENO (LLURIMAGUA);104
610;IMANTAG;104
611;PEÑAHERRERA;104
612;PLAZA GUTIÉRREZ (CALVARIO);104
613;QUIROGA;104
614;SAGRARIO;104
615;SAN FRANCISCO;104
616;VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO;104
617;AMBUQUÍ;105
618;ANGOCHAGUA;105
619;CARANQUI;105
620;CAROLINA;105
621;GUAYAQUIL DE ALPACHACA;105
622;LA DOLOROSA DEL PRIORATO;105
623;LA ESPERANZA;105
624;LITA;105
625;SAGRARIO;105
626;SALINAS;105
627;SAN ANTONIO;105
628;SAN FRANCISCO;105
629;SAN MIGUEL DE IBARRA;105
630;DR. MIGUEL EGAS CABEZAS (PEGUCHE);106
631;EUGENIO ESPEJO (CALPAQUÍ);106
632;GONZÁLEZ SUÁREZ;106
633;JORDÁN;106
634;OTAVALO;106
635;PATAQUÍ;106
636;SAN JOSÉ DE QUICHINCHE;106
637;SAN JUAN DE ILUMÁN;106
638;SAN LUIS;106
639;SAN PABLO;106
